restaurant_id,name,city,area,cuisines,restaurant_type,price_range,avg_cost_for_two,rating,votes,online_order,table_booking,delivery,listed_in,payment_mode,established_year,seating_capacity,famous_dish
310,Old Dhaba,Nagpur,Amravati Road,"Biryani, Continental",Bakery,Moderate (₹500-1000),732,4.2,2716,Yes,No,Yes,Delivery,All Modes,2008,99,Momos
311,Delhi Garden,Ahmedabad,Navrangpura,"Thai, Bengali",Quick Bites,Luxury (₹2000+),4182,4.4,2679,Yes,No,No,Cafes,All Modes,2023,115,Dosa
312,Classic Cafe,Lucknow,Indira Nagar,"Seafood, Mexican",Fine Dining,Moderate (₹500-1000),778,3.5,3576,Yes,No,No,Dine-out,Cash,2023,134,Butter Chicken
313,Mumbai Palace,Lucknow,Aminabad,"Italian, Seafood",Quick Bites,Moderate (₹500-1000),667,2.8,4895,No,Yes,No,Buffet,Cash,2007,65,Sushi
314,Big Cafe,Bangalore,Koramangala,"Continental, Seafood",Bar & Restaurant,Moderate (₹500-1000),653,3.6,1694,No,No,No,Nightlife,All Modes,2016,32,Dal Makhani
315,Fresh Cafe,Mumbai,Worli,"Burger, South Indian",Food Court,Luxury (₹2000+),2963,3.8,2952,Yes,Yes,No,Cafes,All Modes,2015,192,Pasta
316,New Palace,Kolkata,Dumdum,"Fast Food, Mughlai",Buffet,Affordable (₹200-500),278,4.5,2961,Yes,No,Yes,Dine-out,Card,2005,28,Kebabs
317,Little Bites,Mumbai,Juhu,"Seafood, Mediterranean",Quick Bites,Budget (₹0-200),154,4.6,4961,Yes,No,Yes,Pubs and bars,All Modes,2017,100,Dosa
318,Modern Kitchen,Bangalore,Electronic City,"Bakery, Seafood",Cafe,Luxury (₹2000+),3509,3.9,284,Yes,No,No,Delivery,All Modes,2007,46,Tandoori
319,Old Palace,Surat,Piplod,"Chinese, Cafe",Bakery,Budget (₹0-200),187,4.3,649,Yes,No,No,Pubs and bars,Cash,2015,146,Noodles
320,Old Palace,Mumbai,Borivali,"Seafood, Bengali",Food Court,Premium (₹1000-2000),1803,2.9,4905,Yes,No,Yes,Nightlife,Cash,2020,158,Paneer Tikka
321,Grand Restaurant,Lucknow,Hazratganj,"Bengali, North Indian",Delivery Only,Premium (₹1000-2000),1287,2.7,2286,Yes,Yes,No,Desserts,UPI,2005,0,Tandoori
322,Urban Lounge,Delhi,Lajpat Nagar,"Continental, Seafood",Food Court,Affordable (₹200-500),375,3.7,4330,Yes,No,Yes,Pubs and bars,Card,2020,115,Noodles
323,Grand House,Kolkata,Ballygunge,"Mughlai, Biryani",Bakery,Moderate (₹500-1000),737,4.3,960,Yes,No,Yes,Nightlife,All Modes,2022,69,Pasta
324,Old Restaurant,Nagpur,Wardha Road,"Continental, Cafe",Dhaba,Budget (₹0-200),187,4.1,4353,Yes,No,Yes,Buffet,UPI,2018,166,Tacos
325,Mumbai Restaurant,Nagpur,Manewada,"Pizza, Italian",Delivery Only,Luxury (₹2000+),4775,4.3,4832,No,No,No,Buffet,Card,2015,0,Chole Bhature
326,Fresh Bistro,Mumbai,Bandra,"North Indian, Street Food",Fine Dining,Luxury (₹2000+),4537,3.3,2330,Yes,No,Yes,Delivery,Cash,2011,163,Kebabs
327,Spice Point,Delhi,Karol Bagh,"Bengali, Continental",Dhaba,Luxury (₹2000+),3132,2.9,2423,Yes,Yes,No,Desserts,All Modes,2015,75,Paneer Tikka
328,Delhi Garden,Indore,Palasia,"South Indian, Mediterranean",Dhaba,Moderate (₹500-1000),812,2.9,578,Yes,No,Yes,Buffet,All Modes,2008,46,Chole Bhature
329,Golden Lounge,Indore,Rajendra Nagar,"Italian, Seafood",Delivery Only,Budget (₹0-200),199,3.9,2062,Yes,Yes,Yes,Dine-out,Cash,2006,0,Kebabs
330,Royal Grill,Kolkata,Gariahat,"Sushi, Mediterranean",Bakery,Budget (₹0-200),169,3.5,584,No,No,Yes,Desserts,All Modes,2008,155,Chole Bhature
331,Mumbai Bar,Kochi,Kaloor,"Burger, Mediterranean",Casual Dining,Budget (₹0-200),197,2.7,3775,Yes,No,Yes,Pubs and bars,Cash,2017,179,Dosa
332,Urban Bistro,Chennai,Porur,"Thai, Desserts",Fine Dining,Premium (₹1000-2000),1064,3.0,4867,Yes,Yes,Yes,Buffet,UPI,2020,146,Sushi
333,The Kitchen,Indore,Bhawarkuan,"Sushi, South Indian",Food Court,Budget (₹0-200),158,4.4,4295,No,Yes,Yes,Dine-out,Cash,2006,198,Paneer Tikka
334,Old Bites,Ahmedabad,CG Road,"Bengali, South Indian",Cafe,Affordable (₹200-500),433,2.6,2527,Yes,Yes,No,Delivery,Cash,2008,137,Dal Makhani
335,Spice Garden,Indore,Bhanwarkuan,"Fast Food, Street Food",Food Court,Premium (₹1000-2000),1046,3.9,1135,Yes,Yes,No,Dine-out,UPI,2007,40,Pizza
336,Royal Grill,Bangalore,Electronic City,"Thai, Bakery",Quick Bites,Premium (₹1000-2000),1900,2.8,3091,Yes,No,Yes,Delivery,Cash,2005,55,Tacos
337,New Grill,Delhi,Dwarka,"Seafood, Continental",Cafe,Affordable (₹200-500),219,3.5,1439,Yes,No,Yes,Cafes,Cash,2014,99,Pasta
338,Golden Bistro,Mumbai,Colaba,"Desserts, Italian",Bakery,Moderate (₹500-1000),557,4.1,2274,Yes,No,No,Buffet,All Modes,2020,55,Paneer Tikka
339,The Bar,Nagpur,Sitabuldi,"Thai, Burger",Cafe,Premium (₹1000-2000),1053,4.4,3722,Yes,No,No,Dine-out,Card,2005,134,Chole Bhature
340,Urban Dhaba,Delhi,Karol Bagh,"Street Food, Bengali",Bakery,Moderate (₹500-1000),666,4.1,2678,No,Yes,No,Dine-out,All Modes,2011,106,Tacos
341,Old Lounge,Hyderabad,Jubilee Hills,"Seafood, South Indian",Dhaba,Affordable (₹200-500),434,2.9,3069,Yes,No,Yes,Nightlife,UPI,2011,95,Paneer Tikka
342,Delhi Cafe,Mumbai,Bandra,"Italian, Seafood",Buffet,Premium (₹1000-2000),1993,4.6,4954,Yes,No,Yes,Desserts,Card,2007,115,Sushi
343,Fresh Dhaba,Jaipur,Sanganer,"Bakery, Seafood",Buffet,Moderate (₹500-1000),722,4.3,2030,Yes,No,Yes,Pubs and bars,Card,2023,11,Pasta
344,Old Grill,Mumbai,Bandra,"Desserts, South Indian",Dhaba,Luxury (₹2000+),2050,4.5,3716,No,No,No,Buffet,All Modes,2011,43,Burger
345,Grand Bistro,Chennai,Velachery,"North Indian, Desserts",Delivery Only,Affordable (₹200-500),270,3.9,3736,No,No,No,Dine-out,UPI,2019,0,Tandoori
346,Fresh Bar,Nagpur,Sitabuldi,"Chinese, Mediterranean",Food Court,Luxury (₹2000+),2331,4.3,4453,Yes,No,Yes,Pubs and bars,UPI,2006,141,Tacos
347,Urban Kitchen,Nagpur,Hingna,"Italian, Mediterranean",Food Court,Premium (₹1000-2000),1726,2.9,4587,Yes,No,Yes,Dine-out,UPI,2012,148,Butter Chicken
348,Little Garden,Nagpur,Amravati Road,"Bakery, Fast Food",Cafe,Moderate (₹500-1000),690,4.1,2280,Yes,No,No,Cafes,Cash,2020,191,Chole Bhature
349,Old Lounge,Nagpur,Manewada,"Thai, Chinese",Cafe,Premium (₹1000-2000),1282,4.7,2372,Yes,Yes,Yes,Buffet,Card,2020,48,Sushi
350,Delhi Hub,Hyderabad,Banjara Hills,"Cafe, Continental",Buffet,Moderate (₹500-1000),511,4.0,2398,No,No,No,Desserts,UPI,2018,158,Burger
351,Old Lounge,Nagpur,Hingna,"Desserts, Bakery",Buffet,Premium (₹1000-2000),1495,4.7,2520,Yes,No,Yes,Nightlife,Cash,2009,100,Pizza
352,Modern Bites,Ahmedabad,Navrangpura,"Mughlai, Bakery",Delivery Only,Affordable (₹200-500),321,4.7,1267,Yes,No,No,Pubs and bars,Card,2019,0,Pizza
353,Golden Palace,Pune,Baner,"South Indian, Thai",Food Court,Affordable (₹200-500),262,4.8,4381,Yes,No,No,Cafes,Card,2019,91,Paneer Tikka
354,Grand Grill,Mumbai,Powai,"Burger, Desserts",Delivery Only,Luxury (₹2000+),2164,4.7,3631,Yes,No,No,Dine-out,Cash,2014,0,Biryani
355,Old Corner,Kolkata,Ballygunge,"Chinese, Thai",Casual Dining,Luxury (₹2000+),3824,3.0,2286,Yes,No,No,Buffet,Cash,2021,110,Dosa
356,Modern Lounge,Ahmedabad,Maninagar,"Desserts, South Indian",Food Court,Premium (₹1000-2000),1359,3.4,3064,Yes,No,Yes,Cafes,Cash,2011,196,Tacos
357,Big House,Ahmedabad,Vastrapur,"Burger, Mughlai",Dhaba,Premium (₹1000-2000),1537,2.7,1712,Yes,No,No,Delivery,All Modes,2007,11,Pasta
358,New Cafe,Nagpur,Manewada,"Cafe, Street Food",Bakery,Affordable (₹200-500),354,3.2,4028,Yes,Yes,Yes,Cafes,All Modes,2012,16,Noodles
359,Delhi Restaurant,Mumbai,Juhu,"Seafood, Italian",Delivery Only,Premium (₹1000-2000),1993,4.0,243,Yes,No,No,Pubs and bars,UPI,2023,0,Momos
360,Fresh Restaurant,Lucknow,Chowk,"Seafood, Italian",Food Court,Luxury (₹2000+),2554,3.9,1207,Yes,No,Yes,Nightlife,Card,2006,79,Burger
361,The Restaurant,Kolkata,Behala,"Burger, Cafe",Fine Dining,Luxury (₹2000+),3295,4.3,4915,Yes,No,Yes,Desserts,UPI,2013,185,Tandoori
362,Spice Palace,Surat,Katargam,"Bakery, Thai",Quick Bites,Budget (₹0-200),152,3.4,3982,Yes,No,Yes,Delivery,Card,2009,138,Dosa
363,Big Bites,Chandigarh,Sector 8,"Cafe, Desserts",Bar & Restaurant,Luxury (₹2000+),3276,4.7,964,Yes,No,Yes,Buffet,UPI,2009,123,Tacos
364,Royal Grill,Lucknow,Alambagh,"Burger, North Indian",Fine Dining,Affordable (₹200-500),307,4.2,2528,Yes,No,Yes,Buffet,Cash,2007,14,Noodles
365,The Dhaba,Ahmedabad,Vastrapur,"Italian, South Indian",Bar & Restaurant,Luxury (₹2000+),2395,4.7,364,Yes,No,Yes,Desserts,Cash,2011,160,Tacos
366,Grand Corner,Hyderabad,Hitech City,"North Indian, Italian",Quick Bites,Moderate (₹500-1000),534,4.6,1991,Yes,No,Yes,Desserts,Cash,2021,65,Tandoori
367,Royal Bites,Hyderabad,Madhapur,"Cafe, North Indian",Fine Dining,Affordable (₹200-500),254,3.9,3611,No,No,No,Cafes,All Modes,2011,141,Dosa
368,Big Corner,Kolkata,Salt Lake,"Italian, Seafood",Fine Dining,Luxury (₹2000+),4022,4.2,4574,Yes,No,Yes,Delivery,All Modes,2014,126,Dal Makhani
369,Grand Point,Surat,Piplod,"Street Food, Biryani",Bar & Restaurant,Premium (₹1000-2000),1013,4.6,3906,Yes,No,Yes,Cafes,Cash,2017,122,Chole Bhature
370,Spice Cafe,Nagpur,Dharampeth,"Mexican, Mediterranean",Bakery,Budget (₹0-200),125,4.8,2784,Yes,Yes,Yes,Buffet,All Modes,2013,192,Noodles
371,Big Garden,Lucknow,Rajajipuram,"Mexican, Thai",Buffet,Luxury (₹2000+),4036,3.2,3734,No,No,No,Dine-out,Card,2005,35,Tandoori
372,Old Bar,Mumbai,Andheri,"North Indian, Fast Food",Dhaba,Luxury (₹2000+),4129,4.0,799,Yes,Yes,Yes,Desserts,All Modes,2019,61,Pizza
373,Old Palace,Nagpur,Amravati Road,"Pizza, Bakery",Food Court,Luxury (₹2000+),3541,4.6,985,Yes,Yes,Yes,Cafes,All Modes,2006,18,Paneer Tikka
374,Urban Grill,Jaipur,Mansarovar,"Mughlai, Desserts",Dhaba,Affordable (₹200-500),451,3.7,906,Yes,No,Yes,Pubs and bars,All Modes,2020,153,Sushi
375,New Restaurant,Bangalore,Koramangala,"Seafood, Bengali",Dhaba,Luxury (₹2000+),3428,2.6,4847,Yes,No,Yes,Desserts,Cash,2015,107,Butter Chicken
376,Mumbai Hub,Kolkata,Behala,"Thai, South Indian",Cafe,Affordable (₹200-500),258,3.9,546,Yes,No,Yes,Pubs and bars,UPI,2006,127,Kebabs
377,Modern Palace,Chandigarh,Panchkula,"Mediterranean, Pizza",Casual Dining,Premium (₹1000-2000),1500,3.9,2651,Yes,No,Yes,Buffet,Card,2015,137,Chole Bhature
378,Royal Lounge,Indore,Nipania,"Burger, Mexican",Dhaba,Affordable (₹200-500),347,4.5,4399,No,No,Yes,Pubs and bars,All Modes,2012,169,Tandoori
379,Modern Corner,Delhi,Karol Bagh,"Pizza, Chinese",Bakery,Luxury (₹2000+),3228,3.3,638,No,No,Yes,Cafes,UPI,2011,116,Pasta
380,Grand Garden,Chennai,Tambaram,"Cafe, Mughlai",Casual Dining,Luxury (₹2000+),3776,3.0,3838,Yes,No,Yes,Pubs and bars,Cash,2021,61,Burger
381,Golden Cafe,Ahmedabad,Navrangpura,"Burger, Street Food",Dhaba,Moderate (₹500-1000),631,4.5,2196,Yes,No,Yes,Dine-out,All Modes,2012,39,Paneer Tikka
382,Golden Garden,Hyderabad,Banjara Hills,"Burger, Seafood",Buffet,Luxury (₹2000+),3058,4.7,1664,No,No,No,Desserts,UPI,2022,55,Kebabs
383,Little House,Chandigarh,Sector 17,"North Indian, Chinese",Fine Dining,Moderate (₹500-1000),620,4.7,749,Yes,Yes,Yes,Buffet,Cash,2021,180,Sushi
384,Old Bites,Lucknow,Rajajipuram,"Chinese, Pizza",Bakery,Budget (₹0-200),154,4.3,1942,Yes,No,No,Dine-out,UPI,2019,114,Pizza
385,Old Palace,Chandigarh,Sector 17,"Thai, Italian",Food Court,Luxury (₹2000+),4931,3.1,2285,No,No,No,Nightlife,UPI,2005,175,Tacos
386,Fresh Grill,Lucknow,Hazratganj,"South Indian, Pizza",Delivery Only,Luxury (₹2000+),2968,4.8,2982,No,No,No,Desserts,All Modes,2017,0,Biryani
387,Urban Bites,Kochi,Thrippunithura,"Pizza, Sushi",Fine Dining,Affordable (₹200-500),408,4.7,2608,Yes,Yes,Yes,Desserts,Cash,2020,130,Tandoori
388,Little Hub,Kolkata,Behala,"Italian, Fast Food",Delivery Only,Luxury (₹2000+),2112,3.9,4496,Yes,No,Yes,Desserts,Cash,2010,0,Kebabs
389,The Hub,Ahmedabad,Navrangpura,"Fast Food, Sushi",Food Court,Luxury (₹2000+),3308,3.1,1075,Yes,Yes,Yes,Cafes,All Modes,2009,76,Paneer Tikka
390,Big Restaurant,Nagpur,Hingna,"Fast Food, Chinese",Dhaba,Moderate (₹500-1000),985,4.8,4682,Yes,No,Yes,Buffet,Card,2007,128,Dosa
391,The Hub,Chennai,Adyar,"Bengali, Mediterranean",Bakery,Moderate (₹500-1000),867,2.9,4656,Yes,Yes,Yes,Desserts,All Modes,2020,40,Dosa
392,Golden Point,Surat,Citylight,"Pizza, Sushi",Buffet,Premium (₹1000-2000),1184,3.9,2328,Yes,No,Yes,Desserts,Card,2005,84,Pizza
393,Urban Dhaba,Hyderabad,Secunderabad,"Thai, Bengali",Buffet,Budget (₹0-200),187,4.6,3266,Yes,No,Yes,Cafes,UPI,2007,34,Chole Bhature
394,Mumbai Bites,Mumbai,Bandra,"Biryani, Desserts",Food Court,Luxury (₹2000+),2541,3.7,3130,Yes,Yes,Yes,Pubs and bars,Cash,2023,55,Pizza
395,Urban Corner,Bangalore,Hebbal,"Street Food, Continental",Fine Dining,Moderate (₹500-1000),946,2.8,371,No,Yes,Yes,Buffet,UPI,2018,82,Tacos
396,Modern Point,Kochi,Fort Kochi,"Pizza, Cafe",Food Court,Premium (₹1000-2000),1193,4.9,1249,Yes,No,No,Delivery,Card,2010,19,Momos
397,Little House,Chennai,Adyar,"Mediterranean, Italian",Buffet,Budget (₹0-200),163,3.8,3759,No,No,No,Delivery,UPI,2007,62,Sushi
398,Fresh Cafe,Chennai,Adyar,"Desserts, Pizza",Bakery,Luxury (₹2000+),3008,3.8,4685,Yes,No,Yes,Desserts,All Modes,2008,94,Biryani
399,New Corner,Chennai,Anna Nagar,"Bakery, Italian",Food Court,Affordable (₹200-500),337,4.5,3940,Yes,Yes,Yes,Nightlife,Cash,2019,93,Tandoori
400,Golden Point,Surat,Athwa,"South Indian, Sushi",Food Court,Budget (₹0-200),132,3.4,3277,Yes,No,No,Delivery,Cash,2011,51,Pasta
401,Delhi Bar,Indore,Rajendra Nagar,"Continental, Italian",Delivery Only,Premium (₹1000-2000),1098,4.7,4953,No,No,Yes,Pubs and bars,Card,2020,0,Momos
402,Old Restaurant,Kochi,Thrippunithura,"Bakery, Mediterranean",Fine Dining,Premium (₹1000-2000),1349,3.5,3499,Yes,No,Yes,Buffet,Card,2009,136,Chole Bhature
403,Delhi House,Nagpur,Dharampeth,"Mediterranean, Chinese",Buffet,Moderate (₹500-1000),651,4.7,2046,Yes,Yes,No,Pubs and bars,Cash,2006,141,Butter Chicken
404,New Bistro,Jaipur,Jagatpura,"Street Food, Bengali",Delivery Only,Moderate (₹500-1000),591,4.3,143,Yes,No,Yes,Desserts,All Modes,2006,0,Butter Chicken
405,Mumbai Lounge,Kolkata,Gariahat,"Street Food, Seafood",Bakery,Moderate (₹500-1000),722,2.9,4958,Yes,Yes,Yes,Delivery,All Modes,2008,13,Paneer Tikka
406,Old Grill,Nagpur,Amravati Road,"Mexican, Desserts",Delivery Only,Luxury (₹2000+),2056,4.8,3245,Yes,No,No,Dine-out,Cash,2005,0,Tandoori
407,Golden House,Hyderabad,Banjara Hills,"Continental, Pizza",Dhaba,Luxury (₹2000+),2680,4.3,1223,Yes,Yes,Yes,Dine-out,All Modes,2020,130,Biryani
408,Modern Dhaba,Chandigarh,Mohali,"Fast Food, Sushi",Bakery,Premium (₹1000-2000),1592,2.7,3547,Yes,No,Yes,Buffet,UPI,2006,134,Pasta
409,Golden Grill,Ahmedabad,Prahlad Nagar,"South Indian, Cafe",Casual Dining,Premium (₹1000-2000),1637,3.1,3427,Yes,No,Yes,Nightlife,All Modes,2018,15,Paneer Tikka
410,Old Corner,Chennai,Velachery,"Street Food, Biryani",Bar & Restaurant,Affordable (₹200-500),399,4.1,1084,Yes,No,No,Buffet,UPI,2020,51,Dal Makhani
411,Little Grill,Hyderabad,Madhapur,"Chinese, Desserts",Quick Bites,Affordable (₹200-500),355,3.7,3417,Yes,Yes,No,Delivery,Cash,2016,76,Burger
412,Royal Point,Nagpur,Sadar,"Desserts, South Indian",Fine Dining,Moderate (₹500-1000),632,3.0,4613,No,Yes,No,Desserts,Cash,2022,78,Tacos
413,Little Kitchen,Bangalore,Indiranagar,"Street Food, Seafood",Fine Dining,Budget (₹0-200),180,3.7,1378,Yes,No,Yes,Dine-out,UPI,2019,139,Momos
414,Royal Bar,Surat,Vesu,"Thai, Sushi",Quick Bites,Budget (₹0-200),131,4.3,63,Yes,No,Yes,Dine-out,Cash,2013,105,Tandoori
415,Mumbai Bar,Indore,Rajendra Nagar,"Biryani, Continental",Bar & Restaurant,Premium (₹1000-2000),1698,3.5,3363,Yes,Yes,Yes,Delivery,All Modes,2009,12,Tandoori
416,Spice Corner,Indore,Palasia,"Sushi, Mediterranean",Quick Bites,Premium (₹1000-2000),1646,4.1,1246,Yes,No,Yes,Desserts,UPI,2018,112,Tacos
417,Little Grill,Nagpur,Manewada,"Sushi, Mexican",Casual Dining,Moderate (₹500-1000),857,3.6,1690,Yes,No,Yes,Cafes,Card,2014,31,Biryani
418,New Grill,Jaipur,Tonk Road,"Continental, Cafe",Bar & Restaurant,Moderate (₹500-1000),511,3.8,4280,Yes,Yes,No,Pubs and bars,UPI,2012,87,Tandoori
419,Little Kitchen,Kolkata,Salt Lake,"Thai, Pizza",Bar & Restaurant,Moderate (₹500-1000),877,4.8,3686,Yes,Yes,No,Nightlife,Card,2023,154,Tandoori
420,Mumbai Restaurant,Kochi,Vyttila,"Burger, Bengali",Quick Bites,Premium (₹1000-2000),1100,3.7,1587,Yes,Yes,Yes,Buffet,All Modes,2018,30,Butter Chicken
421,Urban Cafe,Mumbai,Worli,"Seafood, Fast Food",Buffet,Budget (₹0-200),166,3.5,4589,Yes,No,No,Cafes,All Modes,2019,186,Tacos
422,Fresh Cafe,Ahmedabad,Vastrapur,"Continental, Cafe",Quick Bites,Premium (₹1000-2000),1484,3.7,4344,No,Yes,No,Buffet,Card,2022,104,Tacos
423,Spice Bistro,Delhi,Pitampura,"Thai, Bengali",Delivery Only,Budget (₹0-200),138,3.2,3077,Yes,Yes,Yes,Dine-out,All Modes,2006,0,Tacos
424,Urban Restaurant,Kochi,Fort Kochi,"Fast Food, Mughlai",Buffet,Budget (₹0-200),153,2.7,376,Yes,No,Yes,Cafes,UPI,2017,131,Sushi
425,Big Cafe,Surat,Athwa,"Desserts, Street Food",Buffet,Premium (₹1000-2000),1404,2.7,3365,Yes,No,Yes,Pubs and bars,Cash,2019,198,Pizza
426,Fresh Cafe,Nagpur,Dharampeth,"North Indian, Bengali",Delivery Only,Luxury (₹2000+),4137,2.7,4448,Yes,No,No,Dine-out,All Modes,2021,0,Tacos
427,Grand Bites,Mumbai,Andheri,"Cafe, Mughlai",Casual Dining,Moderate (₹500-1000),913,4.5,4757,Yes,Yes,No,Nightlife,All Modes,2023,21,Momos
428,Mumbai Hub,Chandigarh,Sector 17,"Mughlai, Street Food",Casual Dining,Luxury (₹2000+),2748,2.7,823,Yes,No,Yes,Nightlife,Cash,2009,88,Pasta
429,The Lounge,Nagpur,Sadar,"Sushi, Mughlai",Casual Dining,Budget (₹0-200),141,3.3,3391,Yes,No,Yes,Delivery,Card,2012,162,Dal Makhani
430,Classic Garden,Hyderabad,Secunderabad,"Desserts, Mexican",Fine Dining,Moderate (₹500-1000),708,3.8,546,Yes,No,Yes,Delivery,UPI,2022,160,Kebabs
431,Big Palace,Delhi,Saket,"Continental, Sushi",Bakery,Premium (₹1000-2000),1800,3.7,1176,No,Yes,No,Pubs and bars,All Modes,2022,125,Biryani
432,Fresh Lounge,Mumbai,Borivali,"Burger, Mughlai",Casual Dining,Budget (₹0-200),144,3.1,3124,No,No,No,Nightlife,Cash,2010,199,Chole Bhature
433,Delhi Bistro,Lucknow,Gomti Nagar,"Mexican, Italian",Quick Bites,Luxury (₹2000+),4898,4.0,2617,Yes,No,Yes,Cafes,UPI,2012,179,Burger
434,Old Lounge,Pune,Kothrud,"Sushi, North Indian",Quick Bites,Budget (₹0-200),171,4.1,3394,No,Yes,Yes,Delivery,Cash,2022,17,Tacos
435,Grand Bistro,Chandigarh,Mohali,"Thai, Mediterranean",Bakery,Moderate (₹500-1000),979,4.9,1032,No,Yes,No,Delivery,Card,2005,81,Kebabs
436,Golden Bistro,Kochi,Kaloor,"Bengali, Burger",Cafe,Affordable (₹200-500),203,3.2,4974,No,No,Yes,Cafes,Cash,2013,155,Chole Bhature
437,Classic Dhaba,Ahmedabad,Navrangpura,"Bakery, Bengali",Quick Bites,Budget (₹0-200),129,2.8,4678,Yes,No,Yes,Dine-out,Cash,2022,167,Pizza
438,The Hub,Nagpur,Amravati Road,"South Indian, Thai",Dhaba,Premium (₹1000-2000),1044,3.7,4069,Yes,Yes,No,Dine-out,Cash,2013,117,Chole Bhature
439,The Hub,Ahmedabad,Maninagar,"Fast Food, Thai",Fine Dining,Luxury (₹2000+),3348,4.8,3481,Yes,No,Yes,Nightlife,Cash,2008,17,Momos
440,Modern Garden,Kolkata,Park Street,"Sushi, Pizza",Cafe,Budget (₹0-200),166,4.5,2742,No,Yes,Yes,Pubs and bars,All Modes,2008,170,Momos
441,Spice Kitchen,Lucknow,Gomti Nagar,"South Indian, Mediterranean",Food Court,Budget (₹0-200),108,2.6,3547,Yes,Yes,Yes,Delivery,UPI,2017,112,Butter Chicken
442,Golden Point,Lucknow,Chowk,"Bengali, North Indian",Buffet,Premium (₹1000-2000),1529,4.0,2792,No,No,No,Pubs and bars,Card,2008,36,Biryani
443,Modern Garden,Lucknow,Gomti Nagar,"Fast Food, Bengali",Quick Bites,Luxury (₹2000+),2180,3.7,3652,Yes,No,Yes,Delivery,Card,2014,159,Pasta
444,Delhi Lounge,Jaipur,Tonk Road,"Cafe, Continental",Quick Bites,Premium (₹1000-2000),1694,3.2,76,Yes,No,Yes,Delivery,Card,2021,153,Sushi
445,Mumbai Dhaba,Mumbai,Worli,"Fast Food, Biryani",Fine Dining,Moderate (₹500-1000),936,4.2,3838,Yes,No,Yes,Nightlife,UPI,2018,94,Paneer Tikka
446,Urban Garden,Delhi,Vasant Kunj,"South Indian, Desserts",Cafe,Budget (₹0-200),130,3.6,1756,Yes,No,Yes,Desserts,All Modes,2011,112,Paneer Tikka
447,Mumbai Kitchen,Chandigarh,Sector 17,"Chinese, Mexican",Casual Dining,Luxury (₹2000+),2121,3.6,4807,Yes,Yes,Yes,Dine-out,Card,2014,54,Dosa
448,Little Cafe,Kochi,Fort Kochi,"Sushi, Bakery",Cafe,Affordable (₹200-500),270,4.5,838,Yes,Yes,Yes,Nightlife,Card,2014,126,Dosa
449,Grand Cafe,Pune,Shivajinagar,"Desserts, Mediterranean",Fine Dining,Budget (₹0-200),188,3.0,3108,Yes,Yes,Yes,Buffet,Card,2006,167,Dal Makhani
450,Big Cafe,Hyderabad,Madhapur,"Sushi, Biryani",Casual Dining,Moderate (₹500-1000),901,4.6,1724,Yes,No,No,Pubs and bars,Cash,2010,140,Pasta
451,Old Palace,Indore,Nipania,"Street Food, Mughlai",Food Court,Moderate (₹500-1000),832,3.6,4771,No,No,Yes,Dine-out,Card,2019,70,Pasta
452,New Bites,Hyderabad,Madhapur,"Mexican, Bengali",Quick Bites,Moderate (₹500-1000),765,2.8,698,Yes,No,Yes,Pubs and bars,Cash,2019,141,Dal Makhani
453,Old House,Pune,Hadapsar,"Mediterranean, Street Food",Food Court,Premium (₹1000-2000),1077,2.6,3628,Yes,No,Yes,Delivery,UPI,2021,141,Chole Bhature
454,Big Restaurant,Nagpur,Dharampeth,"Biryani, Italian",Fine Dining,Budget (₹0-200),186,3.0,1620,Yes,Yes,No,Desserts,UPI,2011,190,Dal Makhani
455,The Garden,Bangalore,Jayanagar,"Burger, Sushi",Food Court,Premium (₹1000-2000),1407,2.5,4209,No,No,No,Dine-out,Card,2020,69,Chole Bhature
456,Little Point,Lucknow,Aminabad,"Street Food, Sushi",Fine Dining,Moderate (₹500-1000),515,3.5,3603,Yes,No,No,Pubs and bars,Card,2014,198,Biryani
457,Mumbai Dhaba,Ahmedabad,Maninagar,"Mediterranean, Street Food",Dhaba,Luxury (₹2000+),3352,2.6,273,Yes,No,No,Pubs and bars,All Modes,2017,62,Pasta
458,Golden House,Delhi,Pitampura,"Italian, Thai",Bakery,Premium (₹1000-2000),1705,2.8,4539,Yes,Yes,Yes,Cafes,Cash,2010,60,Butter Chicken
459,Delhi Dhaba,Kochi,Thrippunithura,"Biryani, Sushi",Bar & Restaurant,Budget (₹0-200),141,3.7,1417,No,Yes,Yes,Dine-out,All Modes,2020,200,Butter Chicken
460,Royal Point,Kolkata,Ballygunge,"Fast Food, Sushi",Dhaba,Premium (₹1000-2000),1701,4.8,4822,Yes,No,No,Nightlife,Card,2005,46,Momos
461,Modern Garden,Delhi,Pitampura,"Biryani, Cafe",Food Court,Luxury (₹2000+),4914,3.9,756,No,No,Yes,Desserts,UPI,2017,166,Sushi
462,New Dhaba,Indore,MG Road,"Mughlai, Street Food",Buffet,Premium (₹1000-2000),1903,2.7,367,Yes,No,No,Pubs and bars,UPI,2007,188,Tandoori
463,Urban House,Surat,Citylight,"Mediterranean, Bakery",Fine Dining,Moderate (₹500-1000),584,4.3,2680,Yes,Yes,No,Pubs and bars,Cash,2019,16,Butter Chicken
464,New Corner,Nagpur,Amravati Road,"Mexican, Fast Food",Dhaba,Budget (₹0-200),141,4.2,1128,Yes,No,Yes,Delivery,Card,2019,45,Momos
